,District,Crop,Season,Stage,Attribute,Govt_Sowing_Window,Govt_Harvest_Window,Recommended_Task_Window,Optimum_Range,Slightly_Low_Range,Slightly_Low_Risk,Slightly_Low_Action,Very_Low_Range,Very_Low_Risk,Very_Low_Action,Slightly_High_Range,Slightly_High_Risk,Slightly_High_Action,Very_High_Range,Very_High_Risk,Very_High_Action,Reference_Source,Stage_Cost_INR_per_acre,Cumulative_Cost_INR_per_acre,Min_Value,Max_Value,Unit
202,Ballari,Red Gram,Kharif,Flowering & Pod Formation,Temperature,1 Jun – 1 Jul,29 Jan – 28 Feb,12 Nov – 5 Jan,21-30 °C,18–21 °C,Flower drop,Maintain moisture,<18 °C,Poor pod set,Avoid stress,30–33 °C,Reduced pollination,Mulching,>33 °C,Sterility,Emergency irrigation,ICRISAT,2400,30800,21,30,°C
203,Ballari,Red Gram,Kharif,Flowering & Pod Formation,Rainfall,1 Jun – 1 Jul,29 Jan – 28 Feb,12 Nov – 5 Jan,30-50 mm/week,20–30 mm,Moisture stress,Irrigation,<20 mm,Flower abortion,Immediate irrigation,50–70 mm,Lodging,Drain excess water,>70 mm,Flower damage,Emergency drainage,FAO,2400,30800,30,50,mm/week
204,Ballari,Red Gram,Kharif,Flowering & Pod Formation,Humidity,1 Jun – 1 Jul,29 Jan – 28 Feb,12 Nov – 5 Jan,60-80 %,50–60 %,Reduced transpiration efficiency,Maintain soil moisture,<50 %,Physiological stress,Avoid moisture stress,80–90 %,Disease-favorable microclimate,Improve field aeration,>90 %,Fungal disease outbreak,"Drain excess moisture, monitor disease",ICAR / FAO,2400,30800,60,80,
205,Ballari,Red Gram,Kharif,Pod Development & Maturity,Temperature,1 Jun – 1 Jul,29 Jan – 28 Feb,6 Jan – 28 Feb,20-28 °C,28–30 °C,Reduced seed filling,Maintain moisture,<18 °C,Poor seed development,Avoid stress,30–33 °C,Shriveled seeds,Light irrigation,>33 °C,Yield loss,Irrigate lightly,ICAR,2000,32800,20,28,°C
206,Ballari,Red Gram,Kharif,Pod Development & Maturity,Rainfall,1 Jun – 1 Jul,29 Jan – 28 Feb,6 Jan – 28 Feb,20-40 mm/week,40–50 mm,Pod rot risk,Drain field,<20 mm,Moisture stress,Light irrigation,50–70 mm,Harvest delay,Drain excess water,>70 mm,Pod rot,Field drainage,FAO,2000,32800,20,40,mm/week
207,Ballari,Red Gram,Kharif,Pod Development & Maturity,Humidity,1 Jun – 1 Jul,29 Jan – 28 Feb,6 Jan – 28 Feb,60-80 %,50–60 %,Reduced transpiration efficiency,Maintain soil moisture,<50 %,Physiological stress,Avoid moisture stress,80–90 %,Disease-favorable microclimate,Improve field aeration,>90 %,Fungal disease outbreak,"Drain excess moisture, monitor disease",ICAR / FAO,2000,32800,60,80,
208,Ballari,Sesame,Kharif,Germination & Establishment,Temperature,1 May – 31 May,16 Aug – 15 Sep,1 May – 21 May,20-30 °C,18–20 °C,Delayed germination,Maintain soil moisture,<18 °C,Poor emergence,Delay sowing,30–33 °C,Uneven emergence,Light irrigation,>33 °C,Seedling mortality,Avoid sowing during heat,"ICAR, FAO",1700,45700,20,30,°C
208,Ballari,Sesame,Kharif,Germination & Establishment,Soil Nitrogen,1 May – 31 May,16 Aug – 15 Sep,1 May – 21 May,100-150 kg/ha,76–99 kg/ha,"Reduced vigor, chlorosis",Apply Nitrogen fertilizer,< 75 kg/ha,Stunted growth,Immediate fertilization,151–187 kg/ha,"Nutrient antagonism, vegetative excess",Reduce fertilizer application,> 188 kg/ha,"Toxicity, lodging, pest susceptibility","Stop application, flush field",UAS Dharwad POP / ICAR,1700,45700,100,150,kg/ha
208,Ballari,Sesame,Kharif,Germination & Establishment,Soil Phosphorus,1 May – 31 May,16 Aug – 15 Sep,1 May – 21 May,50-75 kg/ha,38–49 kg/ha,"Poor rooting, delayed maturity",Apply Phosphorus source,< 37 kg/ha,Purple leaves,Apply P fertilizer,76–93 kg/ha,"Nutrient antagonism, vegetative excess",Reduce fertilizer application,> 94 kg/ha,"Toxicity, lodging, pest susceptibility","Stop application, flush field",UAS Dharwad POP / ICAR,1700,45700,50,75,kg/ha
208,Ballari,Sesame,Kharif,Germination & Establishment,Soil Potassium,1 May – 31 May,16 Aug – 15 Sep,1 May – 21 May,40-60 kg/ha,31–39 kg/ha,"Leaf scorching, pest issues",Apply Potash,< 30 kg/ha,Poor quality produce,Apply K fertilizer,61–75 kg/ha,"Nutrient antagonism, vegetative excess",Reduce fertilizer application,> 76 kg/ha,"Toxicity, lodging, pest susceptibility","Stop application, flush field",UAS Dharwad POP / ICAR,1700,45700,40,60,kg/ha
209,Ballari,Sesame,Kharif,Germination & Establishment,Rainfall,1 May – 31 May,16 Aug – 15 Sep,1 May – 21 May,20-40 mm/week,10–20 mm,Moisture stress,Supplemental irrigation,<10 mm,Seed failure,Immediate irrigation,40–60 mm,Seed rot,Improve drainage,>60 mm,Waterlogging,Drain excess water,FAO,1700,45700,20,40,mm/week
210,Ballari,Sesame,Kharif,Germination & Establishment,Humidity,1 May – 31 May,16 Aug – 15 Sep,1 May – 21 May,60-80 %,50–60 %,Reduced transpiration efficiency,Maintain soil moisture,<50 %,Physiological stress,Avoid moisture stress,80–90 %,Disease-favorable microclimate,Improve field aeration,>90 %,Fungal disease outbreak,"Drain excess moisture, monitor disease",ICAR / FAO,1700,45700,60,80,
211,Ballari,Sesame,Kharif,Vegetative Growth,Temperature,1 May – 31 May,16 Aug – 15 Sep,22 May – 2 Jul,22-32 °C,20–22 °C,Slow vegetative growth,Maintain moisture,<20 °C,Stunted plants,Avoid stress,32–35 °C,Leaf wilting,Mulching,>35 °C,Heat stress,Light irrigation,ICAR,2400,48100,22,32,°C
212,Ballari,Sesame,Kharif,Vegetative Growth,Rainfall,1 May – 31 May,16 Aug – 15 Sep,22 May – 2 Jul,30-60 mm/week,20–30 mm,Moisture stress,Irrigation,<20 mm,Growth reduction,Immediate irrigation,60–80 mm,Lodging risk,Drain excess water,>80 mm,Waterlogging,Field drainage,FAO,2400,48100,30,60,mm/week
213,Ballari,Sesame,Kharif,Vegetative Growth,Humidity,1 May – 31 May,16 Aug – 15 Sep,22 May – 2 Jul,60-80 %,50–60 %,Reduced transpiration efficiency,Maintain soil moisture,<50 %,Physiological stress,Avoid moisture stress,80–90 %,Disease-favorable microclimate,Improve field aeration,>90 %,Fungal disease outbreak,"Drain excess moisture, monitor disease",ICAR / FAO,2400,48100,60,80,
214,Ballari,Sesame,Kharif,Flowering & Capsule Formation,Temperature,1 May – 31 May,16 Aug – 15 Sep,3 Jul – 6 Aug,21-30 °C,18–21 °C,Flower drop,Maintain moisture,<18 °C,Poor seed set,Avoid stress,30–33 °C,Reduced pollination,Mulching,>33 °C,Sterility,Emergency irrigation,"ICAR, ICRISAT",2600,50700,21,30,°C
215,Ballari,Sesame,Kharif,Flowering & Capsule Formation,Rainfall,1 May – 31 May,16 Aug – 15 Sep,3 Jul – 6 Aug,30-50 mm/week,20–30 mm,Moisture stress,Irrigation,<20 mm,Flower abortion,Immediate irrigation,50–70 mm,Lodging,Drain excess water,>70 mm,Flower damage,Emergency drainage,FAO,2600,50700,30,50,mm/week
216,Ballari,Sesame,Kharif,Flowering & Capsule Formation,Humidity,1 May – 31 May,16 Aug – 15 Sep,3 Jul – 6 Aug,60-80 %,50–60 %,Reduced transpiration efficiency,Maintain soil moisture,<50 %,Physiological stress,Avoid moisture stress,80–90 %,Disease-favorable microclimate,Improve field aeration,>90 %,Fungal disease outbreak,"Drain excess moisture, monitor disease",ICAR / FAO,2600,50700,60,80,
217,Ballari,Sesame,Kharif,Maturity & Harvesting,Temperature,1 May – 31 May,16 Aug – 15 Sep,7 Aug – 15 Sep,20-28 °C,28–30 °C,Reduced seed weight,Maintain moisture,<18 °C,Poor filling,Avoid stress,30–33 °C,Chalky seeds,Light irrigation,>33 °C,Yield loss,Irrigate lightly,ICAR,2100,52800,20,28,°C
218,Ballari,Sesame,Kharif,Maturity & Harvesting,Rainfall,1 May – 31 May,16 Aug – 15 Sep,7 Aug – 15 Sep,20-40 mm/week,40–50 mm,Seed spoilage,Drain field,<20 mm,Moisture stress,Light irrigation,50–70 mm,Harvest delay,Drain excess water,>70 mm,Yield loss,Field drainage,FAO,2100,52800,20,40,mm/week
219,Ballari,Sesame,Kharif,Maturity & Harvesting,Humidity,1 May – 31 May,16 Aug – 15 Sep,7 Aug – 15 Sep,60-80 %,50–60 %,Reduced transpiration efficiency,Maintain soil moisture,<50 %,Physiological stress,Avoid moisture stress,80–90 %,Disease-favorable microclimate,Improve field aeration,>90 %,Fungal disease outbreak,"Drain excess moisture, monitor disease",ICAR / FAO,2100,52800,60,80,
220,Ballari,Sunflower,Kharif,Germination & Establishment,Temperature,1 Jun – 1 Jul,15 Nov – 15 Dec,1 Jun – 30 Jun,20-30 °C,18–20 °C,Delayed germination,Maintain soil moisture,<18 °C,Poor emergence,Delay sowing,30–33 °C,Uneven emergence,Light irrigation,>33 °C,Seedling mortality,Avoid sowing during heat,"ICAR, FAO",1700,54500,20,30,°C
220,Ballari,Sunflower,Kharif,Germination & Establishment,Soil Nitrogen,1 Jun – 1 Jul,15 Nov – 15 Dec,1 Jun – 30 Jun,100-150 kg/ha,76–99 kg/ha,"Reduced vigor, chlorosis",Apply Nitrogen fertilizer,< 75 kg/ha,Stunted growth,Immediate fertilization,151–187 kg/ha,"Nutrient antagonism, vegetative excess",Reduce fertilizer application,> 188 kg/ha,"Toxicity, lodging, pest susceptibility","Stop application, flush field",UAS Dharwad POP / ICAR,1700,54500,100,150,kg/ha
220,Ballari,Sunflower,Kharif,Germination & Establishment,Soil Phosphorus,1 Jun – 1 Jul,15 Nov – 15 Dec,1 Jun – 30 Jun,50-75 kg/ha,38–49 kg/ha,"Poor rooting, delayed maturity",Apply Phosphorus source,< 37 kg/ha,Purple leaves,Apply P fertilizer,76–93 kg/ha,"Nutrient antagonism, vegetative excess",Reduce fertilizer application,> 94 kg/ha,"Toxicity, lodging, pest susceptibility","Stop application, flush field",UAS Dharwad POP / ICAR,1700,54500,50,75,kg/ha
220,Ballari,Sunflower,Kharif,Germination & Establishment,Soil Potassium,1 Jun – 1 Jul,15 Nov – 15 Dec,1 Jun – 30 Jun,40-60 kg/ha,31–39 kg/ha,"Leaf scorching, pest issues",Apply Potash,< 30 kg/ha,Poor quality produce,Apply K fertilizer,61–75 kg/ha,"Nutrient antagonism, vegetative excess",Reduce fertilizer application,> 76 kg/ha,"Toxicity, lodging, pest susceptibility","Stop application, flush field",UAS Dharwad POP / ICAR,1700,54500,40,60,kg/ha
221,Ballari,Sunflower,Kharif,Germination & Establishment,Rainfall,1 Jun – 1 Jul,15 Nov – 15 Dec,1 Jun – 30 Jun,20-40 mm/week,10–20 mm,Moisture stress,Supplemental irrigation,<10 mm,Seed failure,Immediate irrigation,40–60 mm,Seed rot,Improve drainage,>60 mm,Waterlogging,Drain excess water,FAO,1700,54500,20,40,mm/week
222,Ballari,Sunflower,Kharif,Germination & Establishment,Humidity,1 Jun – 1 Jul,15 Nov – 15 Dec,1 Jun – 30 Jun,60-80 %,50–60 %,Reduced transpiration efficiency,Maintain soil moisture,<50 %,Physiological stress,Avoid moisture stress,80–90 %,Disease-favorable microclimate,Improve field aeration,>90 %,Fungal disease outbreak,"Drain excess moisture, monitor disease",ICAR / FAO,1700,54500,60,80,
223,Ballari,Sunflower,Kharif,Vegetative Growth,Temperature,1 Jun – 1 Jul,15 Nov – 15 Dec,1 Jul – 29 Aug,22-32 °C,20–22 °C,Slow vegetative growth,Maintain moisture,<20 °C,Stunted plants,Avoid stress,32–35 °C,Leaf wilting,Mulching,>35 °C,Heat stress,Light irrigation,ICAR,2400,56900,22,32,°C
224,Ballari,Sunflower,Kharif,Vegetative Growth,Rainfall,1 Jun – 1 Jul,15 Nov – 15 Dec,1 Jul – 29 Aug,30-60 mm/week,20–30 mm,Moisture stress,Irrigation,<20 mm,Growth reduction,Immediate irrigation,60–80 mm,Lodging risk,Drain excess water,>80 mm,Waterlogging,Field drainage,FAO,2400,56900,30,60,mm/week
225,Ballari,Sunflower,Kharif,Vegetative Growth,Humidity,1 Jun – 1 Jul,15 Nov – 15 Dec,1 Jul – 29 Aug,60-80 %,50–60 %,Reduced transpiration efficiency,Maintain soil moisture,<50 %,Physiological stress,Avoid moisture stress,80–90 %,Disease-favorable microclimate,Improve field aeration,>90 %,Fungal disease outbreak,"Drain excess moisture, monitor disease",ICAR / FAO,2400,56900,60,80,
226,Ballari,Sunflower,Kharif,Flowering & Head Formation,Temperature,1 Jun – 1 Jul,15 Nov – 15 Dec,30 Aug – 18 Oct,21-30 °C,18–21 °C,Flower drop,Maintain moisture,<18 °C,Poor seed set,Avoid stress,30–33 °C,Reduced pollination,Mulching,>33 °C,Sterility,Emergency irrigation,"ICAR, ICRISAT",2600,59500,21,30,°C
227,Ballari,Sunflower,Kharif,Flowering & Head Formation,Rainfall,1 Jun – 1 Jul,15 Nov – 15 Dec,30 Aug – 18 Oct,30-50 mm/week,20–30 mm,Moisture stress,Irrigation,<20 mm,Flower abortion,Immediate irrigation,50–70 mm,Lodging,Drain excess water,>70 mm,Flower damage,Emergency drainage,FAO,2600,59500,30,50,mm/week
228,Ballari,Sunflower,Kharif,Flowering & Head Formation,Humidity,1 Jun – 1 Jul,15 Nov – 15 Dec,30 Aug – 18 Oct,60-80 %,50–60 %,Reduced transpiration efficiency,Maintain soil moisture,<50 %,Physiological stress,Avoid moisture stress,80–90 %,Disease-favorable microclimate,Improve field aeration,>90 %,Fungal disease outbreak,"Drain excess moisture, monitor disease",ICAR / FAO,2600,59500,60,80,
229,Ballari,Sunflower,Kharif,Seed Filling & Maturity,Temperature,1 Jun – 1 Jul,15 Nov – 15 Dec,19 Oct – 15 Dec,20-28 °C,28–30 °C,Reduced seed weight,Maintain moisture,<18 °C,Poor filling,Avoid stress,30–33 °C,Chalky seeds,Light irrigation,>33 °C,Yield loss,Irrigate lightly,ICAR,2100,61600,20,28,°C
230,Ballari,Sunflower,Kharif,Seed Filling & Maturity,Rainfall,1 Jun – 1 Jul,15 Nov – 15 Dec,19 Oct – 15 Dec,20-40 mm/week,40–50 mm,Seed spoilage,Drain field,<20 mm,Moisture stress,Light irrigation,50–70 mm,Harvest delay,Drain excess water,>70 mm,Yield loss,Field drainage,FAO,2100,61600,20,40,mm/week
231,Ballari,Sunflower,Kharif,Seed Filling & Maturity,Humidity,1 Jun – 1 Jul,15 Nov – 15 Dec,19 Oct – 15 Dec,60-80 %,50–60 %,Reduced transpiration efficiency,Maintain soil moisture,<50 %,Physiological stress,Avoid moisture stress,80–90 %,Disease-favorable microclimate,Improve field aeration,>90 %,Fungal disease outbreak,"Drain excess moisture, monitor disease",ICAR / FAO,2100,61600,60,80,
232,Belagavi,Bajra,Kharif,Germination & Establishment,Temperature,8 Jun – 8 Jul,1 Oct – 31 Oct,8 Jun – 29 Jun,20-30 °C,18–20 °C,Slow germination,Ensure soil moisture,<18 °C,Poor emergence,Delay sowing,30–33 °C,Uneven emergence,Light irrigation,>33 °C,Seedling mortality,Avoid sowing during heat,"ICAR, FAO",1500,35500,20,30,°C
232,Belagavi,Bajra,Kharif,Germination & Establishment,Soil Nitrogen,8 Jun – 8 Jul,1 Oct – 31 Oct,8 Jun – 29 Jun,100-150 kg/ha,76–99 kg/ha,"Reduced vigor, chlorosis",Apply Nitrogen fertilizer,< 75 kg/ha,Stunted growth,Immediate fertilization,151–187 kg/ha,"Nutrient antagonism, vegetative excess",Reduce fertilizer application,> 188 kg/ha,"Toxicity, lodging, pest susceptibility","Stop application, flush field",UAS Dharwad POP / ICAR,1500,35500,100,150,kg/ha
232,Belagavi,Bajra,Kharif,Germination & Establishment,Soil Phosphorus,8 Jun – 8 Jul,1 Oct – 31 Oct,8 Jun – 29 Jun,50-75 kg/ha,38–49 kg/ha,"Poor rooting, delayed maturity",Apply Phosphorus source,< 37 kg/ha,Purple leaves,Apply P fertilizer,76–93 kg/ha,"Nutrient antagonism, vegetative excess",Reduce fertilizer application,> 94 kg/ha,"Toxicity, lodging, pest susceptibility","Stop application, flush field",UAS Dharwad POP / ICAR,1500,35500,50,75,kg/ha
232,Belagavi,Bajra,Kharif,Germination & Establishment,Soil Potassium,8 Jun – 8 Jul,1 Oct – 31 Oct,8 Jun – 29 Jun,40-60 kg/ha,31–39 kg/ha,"Leaf scorching, pest issues",Apply Potash,< 30 kg/ha,Poor quality produce,Apply K fertilizer,61–75 kg/ha,"Nutrient antagonism, vegetative excess",Reduce fertilizer application,> 76 kg/ha,"Toxicity, lodging, pest susceptibility","Stop application, flush field",UAS Dharwad POP / ICAR,1500,35500,40,60,kg/ha
233,Belagavi,Bajra,Kharif,Germination & Establishment,Rainfall,8 Jun – 8 Jul,1 Oct – 31 Oct,8 Jun – 29 Jun,20-40 mm/week,10–20 mm,Moisture stress,Supplemental irrigation,<10 mm,Seed failure,Immediate irrigation,40–60 mm,Seed rot,Improve drainage,>60 mm,Waterlogging,Drain excess water,FAO,1500,35500,20,40,mm/week
234,Belagavi,Bajra,Kharif,Germination & Establishment,Humidity,8 Jun – 8 Jul,1 Oct – 31 Oct,8 Jun – 29 Jun,60-80 %,50–60 %,Reduced transpiration efficiency,Maintain soil moisture,<50 %,Physiological stress,Avoid moisture stress,80–90 %,Disease-favorable microclimate,Improve field aeration,>90 %,Fungal disease outbreak,"Drain excess moisture, monitor disease",ICAR / FAO,1500,35500,60,80,
235,Belagavi,Bajra,Kharif,Vegetative Growth,Temperature,8 Jun – 8 Jul,1 Oct – 31 Oct,30 Jun – 12 Aug,22-32 °C,20–22 °C,Slow growth,Maintain moisture,<20 °C,Stunted plants,Avoid stress,32–35 °C,Leaf rolling,Mulching,>35 °C,Heat stress,Light irrigation,ICAR,2000,37500,22,32,°C
236,Belagavi,Bajra,Kharif,Vegetative Growth,Rainfall,8 Jun – 8 Jul,1 Oct – 31 Oct,30 Jun – 12 Aug,30-60 mm/week,20–30 mm,Moisture stress,Irrigation,<20 mm,Growth reduction,Immediate irrigation,60–80 mm,Lodging risk,Drain excess water,>80 mm,Waterlogging,Field drainage,FAO,2000,37500,30,60,mm/week
237,Belagavi,Bajra,Kharif,Vegetative Growth,Humidity,8 Jun – 8 Jul,1 Oct – 31 Oct,30 Jun – 12 Aug,60-80 %,50–60 %,Reduced transpiration efficiency,Maintain soil moisture,<50 %,Physiological stress,Avoid moisture stress,80–90 %,Disease-favorable microclimate,Improve field aeration,>90 %,Fungal disease outbreak,"Drain excess moisture, monitor disease",ICAR / FAO,2000,37500,60,80,
238,Belagavi,Bajra,Kharif,Flowering & Grain Formation,Temperature,8 Jun – 8 Jul,1 Oct – 31 Oct,13 Aug – 18 Sep,21-30 °C,18–21 °C,Delayed flowering,Maintain moisture,<18 °C,Poor grain set,Avoid stress,30–33 °C,Reduced pollination,Mulching,>33 °C,Sterility,Emergency irrigation,ICAR,1800,39300,21,30,°C
239,Belagavi,Bajra,Kharif,Flowering & Grain Formation,Rainfall,8 Jun – 8 Jul,1 Oct – 31 Oct,13 Aug – 18 Sep,30-50 mm/week,20–30 mm,Moisture stress,Irrigation,<20 mm,Flower abortion,Immediate irrigation,50–70 mm,Lodging,Drain excess water,>70 mm,Flower damage,Emergency drainage,FAO,1800,39300,30,50,mm/week
240,Belagavi,Bajra,Kharif,Flowering & Grain Formation,Humidity,8 Jun – 8 Jul,1 Oct – 31 Oct,13 Aug – 18 Sep,60-80 %,50–60 %,Reduced transpiration efficiency,Maintain soil moisture,<50 %,Physiological stress,Avoid moisture stress,80–90 %,Disease-favorable microclimate,Improve field aeration,>90 %,Fungal disease outbreak,"Drain excess moisture, monitor disease",ICAR / FAO,1800,39300,60,80,
241,Belagavi,Bajra,Kharif,Maturity & Harvesting,Temperature,8 Jun – 8 Jul,1 Oct – 31 Oct,19 Sep – 31 Oct,20-28 °C,28–30 °C,Reduced grain weight,Maintain moisture,<18 °C,Poor grain filling,Avoid stress,30–33 °C,Chalky grains,Light irrigation,>33 °C,Yield loss,Irrigate lightly,ICAR,1500,40800,20,28,°C
242,Belagavi,Bajra,Kharif,Maturity & Harvesting,Rainfall,8 Jun – 8 Jul,1 Oct – 31 Oct,19 Sep – 31 Oct,20-40 mm/week,40–50 mm,Grain spoilage,Drain field,<20 mm,Moisture stress,Light irrigation,50–70 mm,Harvest delay,Drain excess water,>70 mm,Yield loss,Field drainage,FAO,1500,40800,20,40,mm/week
243,Belagavi,Bajra,Kharif,Maturity & Harvesting,Humidity,8 Jun – 8 Jul,1 Oct – 31 Oct,19 Sep – 31 Oct,60-80 %,50–60 %,Reduced transpiration efficiency,Maintain soil moisture,<50 %,Physiological stress,Avoid moisture stress,80–90 %,Disease-favorable microclimate,Improve field aeration,>90 %,Fungal disease outbreak,"Drain excess moisture, monitor disease",ICAR / FAO,1500,40800,60,80,
244,Belagavi,Black Gram,Kharif,Germination & Establishment,Temperature,8 Jun – 8 Jul,31 Aug – 30 Sep,8 Jun – 25 Jun,20-30 °C,18–20 °C,Delayed germination,Maintain soil moisture,<18 °C,Poor emergence,Delay sowing,30–33 °C,Uneven emergence,Light irrigation,>33 °C,Seedling mortality,Avoid sowing during heat,"ICRISAT, ICAR",1600,34400,20,30,°C
244,Belagavi,Black Gram,Kharif,Germination & Establishment,Soil Nitrogen,8 Jun – 8 Jul,31 Aug – 30 Sep,8 Jun – 25 Jun,100-150 kg/ha,76–99 kg/ha,"Reduced vigor, chlorosis",Apply Nitrogen fertilizer,< 75 kg/ha,Stunted growth,Immediate fertilization,151–187 kg/ha,"Nutrient antagonism, vegetative excess",Reduce fertilizer application,> 188 kg/ha,"Toxicity, lodging, pest susceptibility","Stop application, flush field",UAS Dharwad POP / ICAR,1600,34400,100,150,kg/ha
244,Belagavi,Black Gram,Kharif,Germination & Establishment,Soil Phosphorus,8 Jun – 8 Jul,31 Aug – 30 Sep,8 Jun – 25 Jun,50-75 kg/ha,38–49 kg/ha,"Poor rooting, delayed maturity",Apply Phosphorus source,< 37 kg/ha,Purple leaves,Apply P fertilizer,76–93 kg/ha,"Nutrient antagonism, vegetative excess",Reduce fertilizer application,> 94 kg/ha,"Toxicity, lodging, pest susceptibility","Stop application, flush field",UAS Dharwad POP / ICAR,1600,34400,50,75,kg/ha
244,Belagavi,Black Gram,Kharif,Germination & Establishment,Soil Potassium,8 Jun – 8 Jul,31 Aug – 30 Sep,8 Jun – 25 Jun,40-60 kg/ha,31–39 kg/ha,"Leaf scorching, pest issues",Apply Potash,< 30 kg/ha,Poor quality produce,Apply K fertilizer,61–75 kg/ha,"Nutrient antagonism, vegetative excess",Reduce fertilizer application,> 76 kg/ha,"Toxicity, lodging, pest susceptibility","Stop application, flush field",UAS Dharwad POP / ICAR,1600,34400,40,60,kg/ha
245,Belagavi,Black Gram,Kharif,Germination & Establishment,Rainfall,8 Jun – 8 Jul,31 Aug – 30 Sep,8 Jun – 25 Jun,20-40 mm/week,10–20 mm,Moisture stress,Supplemental irrigation,<10 mm,Seed failure,Immediate irrigation,40–60 mm,Seed rot,Improve drainage,>60 mm,Waterlogging,Drain excess water,FAO,1600,34400,20,40,mm/week
246,Belagavi,Black Gram,Kharif,Germination & Establishment,Humidity,8 Jun – 8 Jul,31 Aug – 30 Sep,8 Jun – 25 Jun,60-80 %,50–60 %,Reduced transpiration efficiency,Maintain soil moisture,<50 %,Physiological stress,Avoid moisture stress,80–90 %,Disease-favorable microclimate,Improve field aeration,>90 %,Fungal disease outbreak,"Drain excess moisture, monitor disease",ICAR / FAO,1600,34400,60,80,
247,Belagavi,Black Gram,Kharif,Vegetative Growth,Temperature,8 Jun – 8 Jul,31 Aug – 30 Sep,26 Jun – 30 Jul,22-32 °C,20–22 °C,Slow growth,Maintain moisture,<20 °C,Stunted plants,Avoid stress,32–35 °C,Leaf wilting,Mulching,>35 °C,Heat stress,Light irrigation,ICRISAT,2200,36600,22,32,°C
248,Belagavi,Black Gram,Kharif,Vegetative Growth,Rainfall,8 Jun – 8 Jul,31 Aug – 30 Sep,26 Jun – 30 Jul,30-60 mm/week,20–30 mm,Moisture stress,Irrigation,<20 mm,Growth reduction,Immediate irrigation,60–80 mm,Lodging risk,Drain excess water,>80 mm,Waterlogging,Field drainage,FAO,2200,36600,30,60,mm/week
249,Belagavi,Black Gram,Kharif,Vegetative Growth,Humidity,8 Jun – 8 Jul,31 Aug – 30 Sep,26 Jun – 30 Jul,60-80 %,50–60 %,Reduced transpiration efficiency,Maintain soil moisture,<50 %,Physiological stress,Avoid moisture stress,80–90 %,Disease-favorable microclimate,Improve field aeration,>90 %,Fungal disease outbreak,"Drain excess moisture, monitor disease",ICAR / FAO,2200,36600,60,80,
250,Belagavi,Black Gram,Kharif,Flowering & Pod Formation,Temperature,8 Jun – 8 Jul,31 Aug – 30 Sep,31 Jul – 28 Aug,21-30 °C,18–21 °C,Flower drop,Maintain moisture,<18 °C,Poor pod set,Avoid stress,30–33 °C,Reduced pollination,Mulching,>33 °C,Sterility,Emergency irrigation,ICRISAT,2400,39000,21,30,°C
251,Belagavi,Black Gram,Kharif,Flowering & Pod Formation,Rainfall,8 Jun – 8 Jul,31 Aug – 30 Sep,31 Jul – 28 Aug,30-50 mm/week,20–30 mm,Moisture stress,Irrigation,<20 mm,Flower abortion,Immediate irrigation,50–70 mm,Lodging,Drain excess water,>70 mm,Flower damage,Emergency drainage,FAO,2400,39000,30,50,mm/week
252,Belagavi,Black Gram,Kharif,Flowering & Pod Formation,Humidity,8 Jun – 8 Jul,31 Aug – 30 Sep,31 Jul – 28 Aug,60-80 %,50–60 %,Reduced transpiration efficiency,Maintain soil moisture,<50 %,Physiological stress,Avoid moisture stress,80–90 %,Disease-favorable microclimate,Improve field aeration,>90 %,Fungal disease outbreak,"Drain excess moisture, monitor disease",ICAR / FAO,2400,39000,60,80,
253,Belagavi,Black Gram,Kharif,Pod Development & Maturity,Temperature,8 Jun – 8 Jul,31 Aug – 30 Sep,29 Aug – 30 Sep,20-28 °C,28–30 °C,Reduced seed filling,Maintain moisture,<18 °C,Poor seed development,Avoid stress,30–33 °C,Shriveled seeds,Light irrigation,>33 °C,Yield loss,Irrigate lightly,ICAR,2000,41000,20,28,°C
254,Belagavi,Black Gram,Kharif,Pod Development & Maturity,Rainfall,8 Jun – 8 Jul,31 Aug – 30 Sep,29 Aug – 30 Sep,20-40 mm/week,40–50 mm,Pod rot risk,Drain field,<20 mm,Moisture stress,Light irrigation,50–70 mm,Harvest delay,Drain excess water,>70 mm,Pod rot,Field drainage,FAO,2000,41000,20,40,mm/week
255,Belagavi,Black Gram,Kharif,Pod Development & Maturity,Humidity,8 Jun – 8 Jul,31 Aug – 30 Sep,29 Aug – 30 Sep,60-80 %,50–60 %,Reduced transpiration efficiency,Maintain soil moisture,<50 %,Physiological stress,Avoid moisture stress,80–90 %,Disease-favorable microclimate,Improve field aeration,>90 %,Fungal disease outbreak,"Drain excess moisture, monitor disease",ICAR / FAO,2000,41000,60,80,
256,Belagavi,Green Gram,Kharif,Germination & Establishment,Temperature,23 May – 22 Jun,31 Aug – 30 Sep,23 May – 11 Jun,20-30 °C,18–20 °C,Delayed germination,Maintain soil moisture,<18 °C,Poor emergence,Delay sowing,30–33 °C,Uneven emergence,Light irrigation,>33 °C,Seedling mortality,Avoid sowing during heat,"ICRISAT, ICAR",1600,42600,20,30,°C
